BV1VA411w7jG 【亮记生物鉴定】网络热传生物鉴定34
BV1xb4y1Y7QE 如果现在“建长城”要花多少钱？这里可不是几个“爽”的问题
BV1rT4y1Z7H7 【医学博士】除了槟榔，我们还要禁止什么？| 隐藏在食物里的“顶级杀手”
BV1wQ4y1q7mQ 【角度趣闻】墨西哥跳豆为什么会自己跳？
BV1A44y1h7B8 是“鬼打墙”还是真实存在？揭秘神奇的埃舍尔楼梯间
BV1Uv411w7HN 梅毒：一经感染，标记终身
BV1Yq4y157TJ 拍摄了136天，花生的一生，从一颗种子到最后的收获果实【完整版】
BV1KQ4y167g3 【基德】除了阳痿，新冠后遗症还有哪些？
BV1ZQ4y1Q7sN 你居然入侵了我的大脑！思想钢印真的能够实现吗？
BV1EF411e7bJ 狐主任打脸名场面:《解闷儿》
BV1hR4y1n79i “公道杯”是什么？把酒倒上满满的一杯，尴尬的事情发生了
BV1dh411J7dW 网络热门爆款鉴定15
BV16P4y1t7Mk 韦神答辩现场！北大韦东奕钻研“千禧年难题”，获达摩院百万奖金
BV1ab4y1t7PT 这种带有机关的“陷阱硬币”，非常好玩，一枚卖10万元，值吗？
BV1Q44y1x76z 网友湖边凿冰，却挖出大把冰柱，形成原因令人寒心
BV1ZU4y1c7PZ 中国珍贵的“银沙滩”，日本想用一斤米换一斤沙，遭到无情拒绝！
BV1v44y1x7Dm 科学小实验，学好数理化，走遍天下都不怕
BV1g34y1X7Q8 【医学博士】18岁以后还能长高吗？I 熬夜会影响身高么？
BV1wf4y1M7xi 【生人勿进】在殡仪馆工作是种怎样的体验？月入几万是真的吗？
BV1ou411f7Es 花生不是生长在根上的！！！全网第一个拍出花生开花结果半个过程。拍摄了116天【延时摄影】
BV1RL4y1h7mz 【毕导】如何冲出没有奶豆豆的完美牛奶？冲完后，我悟透了……
BV1qQ4y1k73b 机械齿轮VS粉碎机，谁才是“最强王者”？网友：遇到劲敌了！
BV1ph411s7PS 哪些症状是真正的猝死信号？不同程度的症状如何区别补救？-【冷却报告】
BV1kQ4y1X7tV 狐主任现场鉴定海南热带雨林里的特有物种！
BV14M4y1g76T 展示我这些年来做的部分笔记
BV15L41147kn 没有对比就没有伤害Ⅱ
BV1RF411h7TU 网络热门爆款鉴定17
BV1Nq4y1379D 大火的“凝固闪电画”是真的假的
BV1db4y117vo 将200斤的水气球在楼顶推下，落地的一瞬间，网友：强迫症福利
BV1UU4y1w7kP 垃圾桶里凭空冒出来的小飞虫到底是什么？
BV1P64y1a7o3 小伙只想去空军部队蹭个饭，最后竟然开上战斗机？？
BV11v411w7Fx 号称玩不坏的橡胶人，将100升水灌进身体会怎样？结果意想不到！
BV18q4y1Z7TA 卧底瞳代三个月，我来告诉你美瞳有多少坑。
BV1Jh411t7yt 【基德】B站网友把顶尖科学家问的哑口无言 史上最无语科学论坛！
BV1SU4y1A7wX 中国从哪里来？——以地理的视角
BV1L34y1R76o 解答B站网友，那些奇怪的问题（181）
BV1jq4y1G7YD 当声音开始从我的世界里消失
BV1K34y1X7vd 如果男生一辈子禁欲会发生什么？
BV1rL411x7GV 苏联的“人猿杂交”实验，为实验献身的5名女性，后来怎么样了？
BV1Zy4y1G7U1 比萨斜塔倒塌只是时间问题？看工程师如何为其续命，扶还是不扶？
BV1QF41187Bo 为什么带磁铁的转轮会变速反转？揭秘磁力变速齿轮
BV1dQ4y1m7F4 侦探挑战赛（112），男子跳太空步被压断脚踝，是广场还是马路？
BV1pM4y1P7t1 这么绿、这么鲜艳的蘑菇真的都有毒？
BV12L4y1i7dm 你看的盗版电影都是从哪儿来的？【差评君】
BV1PL4y1z7ax 女生站着尿尿有多爽？
BV16M4y1G72B 水流不动？！时间静止？！
BV16L4y1q77U 【医学博士】鬼压床会对身体有害吗？I 鬼压床预示着什么问题？
BV1p34y1S7Bw 【颠覆百年】2021年诺贝尔物理学奖，为何如此反常？
BV1hg411c7A2 【网络热门动物谣言3】水熊虫是地表最强生物？世界上真的有永生的动物吗？骆驼能把自己的胃吐出来？
BV1p34y1d7zu 把1000℃熔岩倒进西瓜里，会发生什么？把1500℃铁水倒在钻石上呢
BV1kT4y1d7Jt 无穷大和无穷大加一哪个更大呢？希尔伯特旅馆解答了这个问题！
BV18L411g7j3 【医学博士】熬夜对脱发有多大伤害？｜ 秃发还能救回来吗？
BV1kQ4y1S7RX 森蚺没有天敌，但是为什么快要灭绝？
BV1uf4y1w7DN 如果我们在水中浸泡7天会怎么样？后果你可能无法想象
BV1mr4y127uP 【合集9】正经的知识又增加了
BV11Q4y1m7oj 中国国家地理的淄博营地，秋天赏红叶的好地方
BV1bL4y1h7V2 姨妈痛到底痛的是哪里？
BV1Ah411s7Td B站的原名你知道咩？
BV1K34y1Z7gw 足疗店退休后的小鱼去哪了？ 吃货：只要不是饭桌！
BV1pb4y1U7dU 饮水机里的水有多脏？测完我就崩溃了！【老爸评测】
BV17P4y1V7BX 这是你理解相对论的另一种方法
BV1JU4y1w7SS 硕导洗澡发现不可李姐诡异现象，经过研究发现原因竟然是……
BV1KL411M7my 不可思议的“螺旋泵”，能让200户家庭用上免费电，你知道原理吗？
BV1oP4y1b7qJ 千万别吃同类的肉，刻在基因上的禁令，一旦感染朊病毒100%致命？
BV1Rh41147ET 这套童书不仅适合对科学有兴趣的孩子，成年人也可以看看。
BV14T4y1o7tc 多米诺效应是什么？一根指头就能摧毁大厦，你知道原理吗？
BV1QP4y1G7km 宇宙中最像地球的10个行星，有水有陆地，真有另一个世界不成？
BV1cf4y1w7x9 比魔术还神奇的小实验，为什么手起火了却不会燃烧？
BV18b4y187gQ 是你看错了？还是大脑的问题？原来这一切都是视错觉在搞鬼
BV1cf4y1P7u8 将600公斤吸力的钕磁铁丢河中，能吸到啥宝贝？仔细一看不淡定了
BV1qF411e7yi 显微镜下的新世界
BV1AP4y1577A 人类用了几十年时间做的规划图，黏菌却只用了这么短？
BV1aq4y1d7wf 金属钠会变透明吗？把它丢在湿润的滤纸上，有趣的科学现象发生了
BV13u411o7QY 消灭非洲大蜗牛会坐牢？非洲人餐桌上的美味，为何国人不敢吃
BV163411k7Xa 黑科技材料，打造真人“毒液”战衣，覆盖全身酷不酷？（上集）
BV1iQ4y1C7TH 当你跳绳跳得足够快能挡雨不被雨淋吗？结果不可思议！@油兔不二字幕组
BV1MQ4y167SE 转基因雄蚊真有用？如果我们让蚊子真的灭绝会怎样？
BV1zb4y117M3 拥有一个过敏性鼻炎的鼻子，到底有多绝望！
BV1mU4y1u7mj 你给我解释解释什么叫打制石器
BV1DS4y197qV 古代皇帝用的“龙洗”，为什么手一搓就会喷水？看完佩服古人智慧
BV1eL411g7oe 大气低温等离子体伤口愈合治疗
BV1J34y1m73p 【角度趣闻】外面看不到里面，里面可以看到外面的帐篷
BV1zF411a7U4 “摩擦发光”是什么？把胶带用力撕开的瞬间，有趣的现象发生了
BV1pq4y1K7GW 不要往开水中尿尿，神奇的马拉高尼现象！
BV1Hi4y1o7aK 舍利子究竟是什么？？我们来做一颗！！骨灰级硬核实验
BV1xf4y1N7Bx 害羞的乳头是肿么回事？乳头凹陷如何改善？ | 夹性芝士
BV1yL411M7TS 为什么从理论上来说，一张纸对折103次，连宇宙也无法装下它？
BV1ER4y1t7A8 猫头鹰为什么会被归为猛禽？
BV1Gg411c7Ek 见过24G大小的照片吗
BV1Fr4y1k7aB 世界上最强的酸是什么？把整只鸡放入其中，难得一见的现象发生了
BV1mL411x7dW 不孕女子才20岁，已有5年同居史，山东医生：初中就鼓捣这个？
BV1V34y1m7n2 当螨虫遇上502胶，看得我太爽了
BV1Zh411H7Js 我打了酒店小卡片上的电话，发现一个不为人知的大江湖…
BV1Vu411Z7DG 夹竹桃这种植物到底有多毒！
BV1rT4y1d7ae 快停手，你们不要再打了啦~
BV1AL41137nR 水是哪里来的？海水为啥是咸的？
BV1Eg411T7nS 在山东淄博的山里，看看华北秋天常见的生物
BV1pf4y177DV 【医学博士】99%的人都不知道，身边的它正夺走你的生命
BV1r44y1b7cj 虫珀专家的秘藏珍宝
BV1xP4y1b7Sd 同样吃进嘴里，为什么辣椒辣嘴巴，芥末却“辣”鼻子？
BV1JL41147Ts 全新突破！从二氧化碳到淀粉的全合成，我国科学家实现了！
BV1eq4y1V7mk 如果连续一个月不洗脸会怎么样？皮肤的变化会超出你想象
BV1iM4y1G7MM 【医学博士】如何治疗鼻炎？I 让鼻炎患者，重获新生的方法
BV1N64y1871c 海啸高度对比，史前海啸有多高呢？
BV1zq4y197NY 如果我们失去指甲会怎么样？后果你可能会无法想象
BV1dq4y1T7co 【汪品先】百万粉丝达成福利！来回答B站同学们的问题
BV1S341127EK 美国人是怎么拔鸡毛的？一只鸡丢进去，无毛鸡出来
BV11u411f7Gs 据说这个玩意是牛顿的噩梦，下落速度竟受心情影响？今天带大家一探究竟
BV1mL411W7qj 铁锈的危害有多大？走进放着铁器的密室，没反应过来你可能就晕了
BV1RL4y187vG 手淫多肾虚了，1个土方法快速补肾
BV1tU4y1P7Gv 致死率100%！为了防止同类相食现象，上帝给人类创造了朊病毒
BV1SL4y1h7aT 精子的诞生
BV1cL4y1a7N7 【基德】很想忍住不骂人，但蛊术实在是烂到骨子里了……
BV1HQ4y1q7gY 警犬可以摸吗？
BV15L411M7M6 磨出的水泡里的液体是什么？要不要戳破！
BV17L4y1q7eN 没有对比就没有伤害Ⅲ
BV1aL411G7v2 不同国家的氢弹，联合国五常第一颗氢弹爆炸画面，最后上大伊万！
BV1uR4y1p7cM 将婴儿放在视觉悬崖上，婴儿会直接爬过去吗
BV15M4y137rU 【人间冷暖】生完孩子，她下面3个通道全被打通了……
BV13f4y1w7dE 如果连续30天不眨眼会怎么样？准备好纸巾一起看到最后！
BV1Lv411A7FY 洗个虾竟然丢了命？可怕的「食肉菌」其实离你并不远
BV1sQ4y1a7jo 这个诡异的斜坡到底是怎么回事？难道地心引力在这失效了？
BV1MR4y1E7WA 人们是从什么时候开始玩滑雪的？【冬奥倒计时90天】
BV1Uv411M7BN 高空坠玻璃 恰巧垂直掉落 把人直接劈成两半 验证结果惊人
BV1DL4y1h7u7 【医学博士】舍友总打呼噜怎么办？I 打呼噜正威胁你的生命
BV1Ef4y1w7Vd 我竟然做了一个“三十万”的蝴蝶标本？！
BV1uU4y1A7vq 这声音医生也受不了！
BV1mR4y1J71d 我们的肌肉为什么会突然抽筋？
BV1Mh411t7a6 电磁弹射！003型航母来了
BV1Rq4y1V7Cz 若有死亡痛苦排行榜，百草枯中毒敢争第一
BV1PT4y1o7P5 【医学博士】总是手痒抠痘痘怎么办 I 痘印该如何修复？
BV1eU4y1c7y1 【许蓝方博士】【答疑解惑】为什么戴了之后射不出来？
BV1EL4y1B7PA 我国进行军火贸易的意义【思维实验室】
BV1Rh41147BK 吃个鱼刺竟然会卡到这里...？又到底什么方法对喉咙卡刺管用？
BV1JP4y1Y7XJ 外空反光束材料喂给老鼠居然让寿命延长一倍？
BV1Jq4y1d7wH 男生为什么，都爱穿四角内裤？
BV1Uq4y167Bz 【医学博士】室友闻不到自己脚臭怎么办？丨如何祛除脚臭？
BV1xh411b7jx 至少需要多大的镜子才能看到全身？
BV1QA411F73p 20年前风靡一时的黑皮瓜，曾经2毛一斤的水果之王，为何都没人种了？
BV1CQ4y1k7sD 看看老外是怎么挤痛风石的（尿酸盐结晶）
BV1F64y187UH 亮记蜜蜂鉴定！《变形金刚》里的大黄蜂真实存在吗？
BV1Wu411Z7mZ 你究竟是男是女？基因研究颠覆你的认知！原来人类性别不止男和女
BV1db4y1a72u 被封印的巨人，就在人类的17号染色体上，人类是否能打开这把基因锁……|自说自话的总裁
BV1AT4y1o769 一个仿品变正品的故事
BV12L4y1Y7dq 网络热门爆款鉴定11
BV1Li4y1o7pp S和M是怎么来的？
BV1dL411u7DW 【科技史】基因编辑：代码的世界
BV1Xf4y1E7nk 最诡异5具骷髅化石，铁棒穿胸只为不让变吸血鬼？南极巨兽遗骸
BV1w341127BA 鉴别网络未知物体47：1种你可能见过，但不知道是什么的奇怪事物
BV1d34y197qG 小蝌蚪的一生
BV1u34y1X7t3 女生生孩子和男生蛋碎，哪个更疼？
BV1Nh411b7nk 关于晚饭吃什么，双枪会给出答案
BV1wq4y1575j 亲历火场逃生，我找到了最靠谱的逃命方法！【老爸评测】
BV1tf4y1M7C2 用冰块制作的子弹，真的可以做到杀人于无形？
BV1ib4y117oG 石棉性能优异，却被多国禁用，它对身体的危害到底有多大？
BV1Zb4y1B7gp 疼啊！这真的假的~
BV1BL4y187NY 【看懂癌症】你应该知道的癌症真相与前沿科研进展
BV1aP4y1Y7Kd 〔科普〕汤姆到底加了啥？ 化学揭秘《猫和老鼠》中使用的试剂
BV1dT4y197Jf 吐口香糖会暴露隐私？科学家通过5700年前的口香糖，复原出了咀嚼者画像
BV1mU4y1g7fn 阿伦森效应——打个巴掌给颗糖
BV1Zy4y1G7E1 看我嘘…嘘晃一枪！上厕所的杀伤力符合枪支弹药的标准吗？
BV1J3411y7Vy 全球各国国宝大比拼，日本国鸟只能从中国租借？
BV1zh411n72Y 为什么国家要取消2元纸币的流通？两点原因或是关键！
BV1XR4y1E7Cn 一些常见的不想戴套的借口 | 无套X行为的后果 | 高危X行为后可能会… | 夹性芝士
BV1Pf4y1n7Zt 解答B站网友，那些奇怪的问题（146）接上期141
BV1Rv411T7At 服务器泡“茅台”？双１１尾款不用付了吗？
BV1nb4y1t7eV FBI ！open the door！
BV1h64y187Tk 胃酸能腐蚀钢铁，那人跳进胃酸池里能活着出来吗？
BV16L411s71m 为了预防假死，欧洲人都设计了哪些棺材？
BV1hL4y1q779 应急包里应该放些什么？
BV1WQ4y1Q7Wp 带你看在中国卑微的风滚草，真应了一句话只要能吃就泛滥不了！
BV18T4y1o7vn 【歌白】我拒绝了电子烟的恰饭广告！但是……
BV1Jf4y1E7q4 一张纸最多对折多少次？忽略物理定律一直对折，厚度能超过宇宙？
BV1Mr4y127M8 我被诺贝尔奖提名了
BV1kU4y1F7mR 多少岁结婚算晚婚？
BV1aQ4y1U7td 把书叠起来后，产生的力量太猛了
BV1DP4y1V7Uj 监控记录下一个男人采用海姆利克法自救的过程
BV1xq4y1Z798 【医学博士】如何拯救你的腰痛？I 人体工学椅有用吗？
BV1964y1b7LZ “注意！这里是中国航母！”
BV1Vh411t7DR 被拍到的无法解释的视频
BV1XF41187rt 12262米！假如从地面开始一直挖，会挖穿地球吗？
BV1RQ4y1Q7xk 2021国家航天局官方宣传片震撼发布！探索宇宙，合作共赢
BV1eU4y1c7Sm 安全台锯到底有多安全？牛人用香肠模拟手指测试，看锯片就懂了！
BV1JF411e7uT 5分钟了解尼莫点，地球上最孤独的地方，方圆2688公里荒无人烟
BV1jQ4y1C7F5 《文明系列》E4宇宙尽头：保持地球宜居、阻止宇宙毁灭！
BV1NP4y1Y7zk 如果在别的星系买的东西，应该填什么收货地址？
BV1Zf4y1u71F “将烟吹进你的屁股”
BV1VP4y1j7Wu 【医学3D】：深静脉血栓（DVT）是如何导致肺栓塞（PE）的？
BV1pM4y1373y 科学家在实验室里做出了人造生殖器，对残疾人太利好了！@油兔不二字幕组
BV11q4y1P79Y 天安门的标语居然变过，之前是什么？
BV1nL411x7ip 动物科普：熊捕到鱼后，为什么吃两口就扔掉？
BV1VR4y1b7MC 两滴药水就能补好牙？浙大教授发明“返老还童”黑科技！
BV1b3411k73w 侦探挑战赛：推理植物大战僵尸“戴夫”后院的具体位置。
BV1vr4y1k7XM 【超燃4K】这山，这河，这中国！
BV1PF411e72t 一千米海底的虾，和油焖大虾的虾一样吗？
BV1NU4y1w7mf 长期掰手指会患上骨关节炎吗？有人做了个长达50年的实验
BV1KY41147XV 将非牛顿流体放到音响上会怎样？启动音响后，场面太魔性了
BV1Q34y197y9 北极冻土坍塌，57000年前史前生物再现人间，令人担忧
BV1nb4y1t7db 闪闪发光的黄金雨~理科生的浪漫
BV1SQ4y1q7qY 我愿称之为：蚊子清除计划 【看了也没啥用】
BV1Y44y1x7T8 【稀土死斗1】中国稀土，血泪三十年
BV1dR4y177yR 2022年北京冬奥会的火炬设计有多牛
BV17b4y1U7TZ 苏联的三进制电脑，为什么被二进制干掉了？【差评君】
BV1bU4y1F7rF 同时做两组迷宫实验，黏菌运动的路线会一致吗？它们会同时吃到终点的燕麦片吗？
BV1544y1874V 这张暴露年龄的画面，为什么总会在电视台停播的时候出现？
BV1iq4y1g7ni 不可思议的“尼龙”，把液体缠绕在玻璃棒上，有趣的现象发生了
BV1L34y1D7Cr 这家企业，720位工人里有355位都是残疾人…也许只有真正淋过雨的人，才知道为别人撑起一把伞有多重要。
BV1Bq4y157rD 一个悲伤的故事
BV1Jq4y1d7gU 中 国 人 均 长 相
BV1rh411p7h6 当一群有礼貌的树住在一起
BV1mr4y117Cs 侦探挑战赛（93），官方号也不靠谱！地面能看到这样的月球？
BV19q4y1g7JY 男子频繁”打手枪“，担忧功能每况愈下，男科专家给说点大实话！
BV1fv411T7TK 侦探挑战赛（110），印度夜间灯光比我国还亮，是真的还是假的？
BV1JT4y1R7vF 被7种剧毒生物咬一口，你还能活多久？
BV1444y1Y7ix 你其实还能再长高！这几个时间段记住了！
BV1NP4y1j7SK 现在还能吃到猛犸象的肉吗？
BV1if4y1J7iH 啪啪卡路里消耗指南丨原来啪啪真的很减肥！
BV1Pb4y127SP 全身都是肌肉，每天“狂长”3斤肉，产崽纯靠剖腹，看完你敢吃吗
BV1134y1m7nq 白化鳄鱼价值上亿才第二？第一名是中国的！
BV1p34y1o7b2 一个人的时候，手机欠费停机怎么办？
BV12g411V7AY 你有没有想过，午夜的弹珠声究竟是从哪里来的？这个谜题现在终于有了答案
BV1Tb4y187zw 网络热门长虫视频(15)巴西水库炸出10米长1吨重的巨蟒!是真的吗?
BV1tq4y1G7Kg 【基德】为什么那么多科学家都相信鬼？
BV1544y1v7Ej 国旗颜色被改了都没人发现
BV1m64y187MV 我国第一颗原子弹有什么暗号密语？
BV1ib4y1b7m4 【医学鉴定】网络热门医学视频鉴定32
BV1r341117Bp 【基德】外星人来地球，为什么要先研究蚂蚁？真正宝藏竟然是它？！
BV16f4y1E7ZV 以后堵车就打飞机回家
BV1Gq4y1o7iT 随机摧毁一种人体元素，会有多少神奇的死法？
BV1uf4y177Mv 麻将是咋来的？
BV1kh411b7mz 【删减片段】狐主任在一棵树上发现了雨林的两大奇观！
BV1Rq4y1V7zk 黑胡椒的壳去掉就是白胡椒吗？
BV1KF411h7W1 每天一个入狱小技巧
BV1x341127EZ 帅大叔被误认为是吴彦祖，大家纷纷围观拍照，不要脸！
BV1hq4y1Z7ok 云南白药里红色的药丸是什么？
BV1tf4y1E7aj 足疗鱼是什么鱼？为何足疗后的鱼都消失了，难道真的被油炸了吗？
BV14L4y1z7Vh 网络热门爆款鉴定14
BV1Uq4y1G7so 怎样解释祖父悖论？
BV1aL4y187Qk 为什么肉片上经常能看到彩色？
BV11h411n7o5 如果我們向火山中傾倒垃圾会怎样？
BV1sq4y1R7Kn 【角度趣闻】法医用来切割的工具是什么样子
BV1yh411x7mp 在家怎样造原子弹？图纸原理早已公开，3步就能造出来
BV1qP4y1h7uJ 网络热门爆款鉴定13
BV1vL411x7rZ 如何控制梦境？
BV1P44y1e7Bb 信口雌黄的雌黄是什么？
BV1N34y1m78N 【网络热门军事视频鉴定】第十五期
BV19Q4y1Q7Qw 放长假了，要小心临时摊的小吃
BV1uF41187TQ 一些物体不常见的一面
BV1AP4y1Y7PU 1100℃岩浆VS灭霸手套，谁会是“最强王者”？看完后就明白了！
BV1th41147d9 国外也有十二生肖，来看看你在其他国家的生肖是什么
BV1634y1o7NG 拐弯的烟囱为何吸力更大？巧妙的气流加速原理
BV1Sh411J7c8 女生腿上绑的那根带子，到底有什么用？
BV1Wg411N7Ej 【网络热门军事视频鉴定】第十七期
BV17f4y1g7Z3 不管你问什么，万能网友都能为你解答（161）
BV1Pq4y157ok 你一次能看到多大的地球?
BV11R4y1E7Nq 堵死日本核电站、一次产卵10亿颗，它的战斗力简直离大谱！
BV1734y1Z7qB 不可思议的“纹影成像”，把雪糕放在镜子前，有趣的现象发生了
BV1yP4y1L7o8 【医学博士】洗牙会伤害牙齿吗？I 牙痛如何快速缓解?
BV1r44y147oD 印度掏粪炼金人，转手一卖大赚一笔，但不建议模仿
BV16u411o7jk 古埃及文明正在苏醒？3000年前的木乃伊，竟然开口说话了！
BV1tb4y1a77P 真的会有生物击剑吗？
BV1ig411c7C2 世界上重名的这么多！为什么不禁止人名重复呢！？
BV1EQ4y1r7i1 苦瓜其实是甜的
BV1bR4y1t77J 【电报猴】是什么梗？
BV1zv41137T9 达尔文奖是纪念被蠢死的人？
BV1j3411y7NB 【水水劳斯】揭秘网络热门视频里的科学原理｜3D全息风扇屏
BV1nr4y1Q7T3 全球第二例艾滋自愈患者，她的血真的比黄金还贵吗？带你硬核剖析
BV1qL4y1q72n 日薪3000招聘避孕套女测试员？避孕套还能搞真人测试？！！
BV1Sh411t7wy 【许蓝方博士】【答疑解惑】喜欢她的脚，变态么？
BV1XL4y1Y76y 拯救地球的三个神秘东西，新型黑科技，每一脚都是为城市做贡献
BV1Rf4y1g7r6 【医学博士】长期看手机对我们的眼睛有什么危害？丨你真的需要防蓝光吗？
BV15f4y1J7Yh 北美食蚊鱼入侵中国，日食2000只蚊子，敢攻击大鱼，它有多可怕？
BV1kL411x7er 【汪品先】世上真有沉没大陆？大西洲、姆大陆、西兰洲，哪个真实存在？
BV1dg411F73F 网络热门长虫视频(11)小伙处理快递拆出一条活蛇!差点吓尿!
BV1xQ4y1a7o7 被称为“软黄金”的鹿茸，凭啥这样贵 ，生切鹿茸真是为它好？
BV1Kq4y1o71Z 【超实景】油管一千万次播放：精子和卵子的受孕过程！
BV1Rq4y1z71q 美国花费500亿让中国建桥，为何不选择韩国日本？
BV1kf4y1H7A1 网络热门爆款鉴定12
BV1MR4y1n7Fg 船锚抓地原理
BV1sb4y1Y7t9 为什么在动画或游戏中，“毒”基本都是绿色的？
BV1xf4y1P7V3 手铐到底有多结实？牛人用400兆帕水刀亲测，场面太壮观了！
BV1Y34y1D7SK 【小魔】你吃的西兰花，其实是道肉菜！
BV1S44y1t7ch 加特林是怎么被发明出来的？
BV11w411f7Xf 液体的表面张力有多大？在太空中用吸管喝水，有趣的现象发生了
BV1wQ4y1U7D1 诡异的视觉错觉，眼睛也会骗人？看完你还相信自己的眼睛吗？
BV1RQ4y1D7Mi 【汪品先】如果地球表面70%都是大陆？
BV1tP4y1b7NN 睾丸真的有味觉吗？
BV19b4y117gW 【4K】真·降维打击！公元2605年！太阳系亡了！
BV12M4y1G7nc 自由女神像是绿的吗？里面有什么？
BV1U44y1t7D1 恐怖片的音效一般是怎么做的？
BV1dL411W7oq 勒洛三角形是什么？将水杯放在三角形上推动，有趣的现象发生了
BV1RL411M728 鹿角的一生
BV1nq4y1r7GB 圆周率π藏着所有人的生日，如果有人算完了π会怎样？
BV1Gh411J7bv 什么是复杂系统？为什么2021诺贝尔物理奖颁给了他们！
BV1w3411h7Ln 【吹就完了】环保这东西呀，光植树造林可不够，要拒绝筷子少吃肉
BV1pY411x75h 粘鼠板能把人粘住吗？3人挑战“超大号粘鼠板”，结果如何？
BV1CS4y197KL 【真爱之吻】x生活互相亲吻私处，真的健康吗？
BV1Er4y1Q79R 迄今为止最恐怖的新冠变异毒株来袭！毒性碾压德尔塔等所有变异！大家注意防护
BV1zq4y1f7Yo 一位男性在10分钟内喝下了12罐能量饮料，这是他的器官发生的变化
BV1vS4y197yT 为什么现在音乐变得越来越烂？
BV1u34y1m7Um 面粉也能引发“爆炸”？将面粉扬撒在蜡烛上，有趣的现象发生了
BV1kr4y117RH 外 国 人 均 长 相
BV1vg411V7hX 一颗钻石拍出4.9亿，上千年来却只认黄金，到底谁更有价值？
BV1Z44y1t7Sw 一个视频教你分辨，哪些石头一看过去就很值钱！
BV1hq4y1g7vr 【医 学 科 普】B站所有男同学都给我进来
BV1s44y1e7iV 高原鼠兔在中国泛滥成灾，数量高达12亿，为何泛滥成好事？
BV1RL4y1h7p7 酵素果冻检出违禁泻药，“减肥养生”就这？【老爸评测】
BV1s34y1Q7oU 如果蚊子突然全部消失，将会发生什么？看得我直冒冷汗！
BV18Q4y167Li 不可思议的小实验，为什么这么多钉子却扎不破气球？
BV1QL4y1q7Xp 一颗小球消失在了3D画中，原理是什么？网友：眼见不一定为实！
BV1dP4y1h7t6 百度为什么叫度娘？
BV17h411n7tG 布达拉宫的墙上为什么有牛奶蜂蜜？
BV1AP4y1a79q 用这几种方法，臭鸡蛋无处遁形。
BV1Nh411t76A 行道树上的三角房，是给小鸟安的家？
BV1Uh411t75T 这些健康谣言别再相信了！
BV1dQ4y1q7gA 螳螂爱好者一定得看看这本书，相当靠谱
BV14v411w72G 健康的肺VS吸烟的肺 噢NO
BV14A411F7vy “果冻效应”是什么？将尺子在阳光下拨动，有趣的现象发生了
BV1tq4y1K7gG 给男生们全方位科普女生的“大姨妈” | 如何照顾姨妈期的女朋友？| 夹性芝士
BV1Xq4y1d7Da 【整活】FPX，游回来吧你，回国三大路线已经为你准备好
BV1J34y1d7KE 纪录片：枪管被折弯180度，子弹还能以297米每秒射出，这是真的吗
BV16Q4y1C7WD 在这条路上开车能听到发出的音乐
BV1DQ4y167Ub 侦探挑战赛（80），我国国土面积是960万平方千米还是平方公里？
BV18r4y117Bf 穿女装打仗的英国士兵
BV13f4y1P7vU 谣言传了20年！！90%的人还是不知辐射的真正危害
BV1mY411x7k6 【医学3D】：看看生孩子的全过程，分娩
BV1nq4y1f7t5 红伞伞白杆杆，这还是你认识的蘑菇吗？
BV1qf4y1J7zH 居然还有0元的纸币？
